epsilon,epsilon_total_composed,accuracy,f1,precision,recall,accuracy_retention_pct
0.1,0.5,0.7,0.00881057268722467,0.5,0.0044444444444444444,70.23411371237458
0.5,2.5,0.6966666666666667,0.021505376344086023,0.3333333333333333,0.011111111111111112,69.89966555183946
1.0,5.0,0.6986666666666667,0.13076923076923078,0.4857142857142857,0.07555555555555556,70.10033444816052
2.0,10.0,0.7273333333333334,0.3678516228748068,0.6040609137055838,0.2644444444444444,72.97658862876254
4.0,20.0,0.824,0.6615384615384615,0.7818181818181819,0.5733333333333334,82.67558528428093
8.0,40.0,0.9286666666666666,0.8779931584948689,0.9016393442622951,0.8555555555555555,93.1772575250836
16.0,80.0,0.98,0.9662921348314607,0.9772727272727273,0.9555555555555556,98.32775919732441
